date;Document Number;Name;Item;Sum of Quantity;Sum of Amount;Status;Location
8/12/2025;DOC366;Skinder;Cloud Subscription;20;3480;Voided;California Office
26/10/2025;DOC367;Realfire;Firewall;17;7072;Paid In Full;New York Warehouse
19/05/2025;DOC368;Realcube;Access Point;16;2608;Paid In Full;Remote
28/02/2025;DOC369;Rhycero;Router;7;2023;Paid In Full;Texas DC
17/06/2025;DOC370;Dabvine;Server License;12;5484;Voided;Remote
12/12/2025;DOC371;Tagpad;Router;17;4913;Paid In Full;Remote
23/06/2025;DOC372;Quinu;Firewall;13;5408;Voided;Texas DC
22/06/2025;DOC373;Fiveclub;Router;17;4913;Paid In Full;Remote
30/06/2025;DOC374;Eimbee;Router;3;867;Open;Remote
11/10/2025;DOC375;Rhyloo;Access Point;18;2934;Open;Texas DC
1/11/2025;DOC376;Realpoint;Cloud Subscription;2;348;Paid In Full;Texas DC
30/10/2025;DOC377;Janyx;Firewall;17;7072;Paid In Full;New York Warehouse
17/05/2025;DOC378;Dabfeed;Server License;9;4113;Paid In Full;California Office
23/06/2025;DOC379;Oba;Firewall;11;4576;Paid In Full;California Office
15/09/2025;DOC380;Voomm;Server License;2;914;Voided;Texas DC
30/06/2025;DOC381;Voonte;Server License;8;3656;Voided;Texas DC
31/05/2025;DOC382;Ooba;Cloud Subscription;18;3132;Voided;New York Warehouse
26/07/2025;DOC383;Teklist;Firewall;2;832;Paid In Full;California Office
16/02/2025;DOC384;Skipfire;Server License;17;7769;Open;Remote
17/07/2025;DOC385;Yodo;Switch;15;3990;Paid In Full;Texas DC
27/09/2025;DOC386;Yodo;Router;14;4046;Voided;Remote
18/04/2025;DOC387;InnoZ;Access Point;1;163;Paid In Full;Remote
15/11/2025;DOC388;Janyx;Router;9;2601;Open;California Office
5/03/2025;DOC389;Zoovu;Access Point;15;2445;Voided;Remote
31/03/2025;DOC390;Zazio;Switch;14;3724;Paid In Full;New York Warehouse
13/04/2025;DOC391;Livefish;Access Point;15;2445;Paid In Full;Texas DC
12/08/2025;DOC392;Jabberstorm;Access Point;4;652;Open;Remote
21/05/2025;DOC393;Tazz;Router;1;289;Open;Texas DC
2/01/2025;DOC394;Jabbercube;Server License;2;914;Open;California Office
7/09/2025;DOC395;Edgeblab;Cloud Subscription;4;696;Voided;Remote
27/02/2025;DOC396;Yata;Firewall;1;416;Open;Remote
7/06/2025;DOC397;Edgepulse;Access Point;18;2934;Voided;California Office
22/01/2025;DOC398;Mynte;Access Point;5;815;Paid In Full;California Office
30/11/2025;DOC399;Omba;Firewall;8;3328;Open;Remote
13/10/2025;DOC400;Photobug;Switch;20;5320;Paid In Full;Texas DC
31/01/2025;DOC401;Wordware;Switch;6;1596;Open;New York Warehouse
25/09/2025;DOC402;Jaxworks;Access Point;19;3097;Voided;Remote
24/05/2025;DOC403;Bubblemix;Access Point;1;163;Voided;New York Warehouse
19/04/2025;DOC404;Jaxbean;Server License;9;4113;Voided;Texas DC
21/01/2025;DOC405;Mita;Firewall;9;3744;Open;Texas DC
17/11/2025;DOC406;Plambee;Server License;11;5027;Paid In Full;Texas DC
28/05/2025;DOC407;Gabspot;Firewall;12;4992;Paid In Full;Texas DC
6/04/2025;DOC408;Einti;Access Point;11;1793;Paid In Full;New York Warehouse
23/05/2025;DOC409;Youtags;Router;13;3757;Paid In Full;California Office
20/05/2025;DOC410;Cogidoo;Cloud Subscription;9;1566;Open;Texas DC
24/05/2025;DOC411;Quamba;Cloud Subscription;13;2262;Voided;Remote
6/02/2025;DOC412;Mynte;Server License;1;457;Voided;Remote
2/06/2025;DOC413;Babbleset;Switch;15;3990;Paid In Full;Remote
29/03/2025;DOC414;Oodoo;Server License;3;1371;Voided;California Office
30/05/2025;DOC415;Roombo;Server License;20;9140;Open;California Office
8/06/2025;DOC416;Kwilith;Switch;13;3458;Voided;Remote
7/10/2025;DOC417;Jaxnation;Router;14;4046;Paid In Full;New York Warehouse
12/12/2025;DOC418;Skiptube;Server License;5;2285;Open;Texas DC
8/12/2025;DOC419;Oyondu;Server License;3;1371;Voided;Remote
27/10/2025;DOC420;Youbridge;Firewall;9;3744;Voided;Remote
12/09/2025;DOC421;Browsezoom;Firewall;11;4576;Paid In Full;California Office
15/11/2025;DOC422;Skimia;Access Point;20;3260;Voided;Remote
26/11/2025;DOC423;Youspan;Access Point;16;2608;Voided;California Office
3/02/2025;DOC424;Jazzy;Switch;20;5320;Paid In Full;California Office
6/01/2025;DOC425;Meedoo;Router;10;2890;Voided;California Office
27/11/2025;DOC426;Brainbox;Server License;8;3656;Voided;Texas DC
23/01/2025;DOC427;Yodo;Server License;10;4570;Voided;New York Warehouse
24/02/2025;DOC428;Reallinks;Switch;2;532;Paid In Full;Texas DC
6/08/2025;DOC429;Ooba;Cloud Subscription;17;2958;Voided;California Office
13/11/2025;DOC430;Oba;Server License;15;6855;Open;Remote
7/11/2025;DOC431;Gigashots;Router;7;2023;Paid In Full;New York Warehouse
21/06/2025;DOC432;Abatz;Switch;7;1862;Voided;Remote
22/07/2025;DOC433;Buzzdog;Cloud Subscription;3;522;Voided;New York Warehouse
16/02/2025;DOC434;Omba;Firewall;18;7488;Paid In Full;New York Warehouse
27/11/2025;DOC435;Mymm;Router;7;2023;Paid In Full;California Office
12/12/2025;DOC436;Vimbo;Server License;6;2742;Paid In Full;New York Warehouse
31/03/2025;DOC437;Photojam;Access Point;16;2608;Paid In Full;New York Warehouse
21/06/2025;DOC438;Cogidoo;Cloud Subscription;3;522;Voided;New York Warehouse
20/02/2025;DOC439;Gabvine;Cloud Subscription;2;348;Paid In Full;New York Warehouse
24/04/2025;DOC440;Realpoint;Firewall;4;1664;Open;Remote
10/10/2025;DOC441;Wikido;Switch;15;3990;Paid In Full;New York Warehouse
3/06/2025;DOC442;Livetube;Server License;5;2285;Paid In Full;Remote
2/08/2025;DOC443;Kwideo;Access Point;16;2608;Paid In Full;California Office
25/11/2025;DOC444;Youbridge;Cloud Subscription;4;696;Voided;California Office
4/07/2025;DOC445;Flashpoint;Switch;11;2926;Voided;Texas DC
1/05/2025;DOC446;Centizu;Firewall;10;4160;Voided;Texas DC
5/12/2025;DOC447;Eimbee;Router;20;5780;Paid In Full;Remote
16/05/2025;DOC448;Mymm;Switch;12;3192;Paid In Full;New York Warehouse
21/01/2025;DOC449;Vinte;Firewall;11;4576;Voided;Texas DC
25/07/2025;DOC450;Layo;Switch;3;798;Open;Remote
9/08/2025;DOC451;Blogtags;Cloud Subscription;4;696;Paid In Full;California Office
17/06/2025;DOC452;Jabbersphere;Cloud Subscription;7;1218;Voided;California Office
31/05/2025;DOC453;Cogibox;Server License;2;914;Open;New York Warehouse
22/03/2025;DOC454;Mycat;Server License;10;4570;Open;Remote
17/05/2025;DOC455;Ailane;Switch;1;266;Paid In Full;California Office
12/01/2025;DOC456;Browseblab;Access Point;1;163;Open;California Office
27/08/2025;DOC457;Fivebridge;Router;3;867;Open;Remote
7/04/2025;DOC458;Meetz;Firewall;18;7488;Voided;New York Warehouse
24/10/2025;DOC459;Wordware;Server License;3;1371;Paid In Full;Remote
24/04/2025;DOC460;Feedmix;Server License;2;914;Voided;Remote
12/01/2025;DOC461;Gabcube;Cloud Subscription;14;2436;Voided;Texas DC
20/05/2025;DOC462;Quatz;Server License;20;9140;Paid In Full;Remote
11/01/2025;DOC463;Zoomlounge;Cloud Subscription;5;870;Open;California Office
20/04/2025;DOC464;Mudo;Server License;16;7312;Paid In Full;Remote
15/02/2025;DOC465;Blogpad;Router;16;4624;Open;New York Warehouse
10/10/2025;DOC466;Eazzy;Cloud Subscription;9;1566;Paid In Full;Remote
1/11/2025;DOC467;Dynabox;Cloud Subscription;16;2784;Open;Texas DC
5/06/2025;DOC468;Thoughtworks;Cloud Subscription;9;1566;Paid In Full;New York Warehouse
16/03/2025;DOC469;Voolith;Router;2;578;Paid In Full;Texas DC
11/09/2025;DOC470;Edgeclub;Server License;6;2742;Open;Texas DC
5/12/2025;DOC471;Eayo;Cloud Subscription;15;2610;Open;Remote
10/09/2025;DOC472;Youspan;Firewall;11;4576;Voided;California Office
15/03/2025;DOC473;Tazzy;Router;7;2023;Open;New York Warehouse
17/01/2025;DOC474;Quinu;Server License;18;8226;Open;California Office
6/07/2025;DOC475;Wikivu;Firewall;17;7072;Voided;Texas DC
16/11/2025;DOC476;Fiveclub;Router;13;3757;Voided;New York Warehouse
28/01/2025;DOC477;Realmix;Server License;18;8226;Voided;Remote
10/01/2025;DOC478;Voonte;Firewall;13;5408;Open;California Office
28/08/2025;DOC479;Kwinu;Switch;9;2394;Voided;California Office
19/03/2025;DOC480;Devcast;Cloud Subscription;12;2088;Voided;Remote
6/12/2025;DOC481;Plambee;Firewall;6;2496;Voided;California Office
14/11/2025;DOC482;Divanoodle;Switch;11;2926;Voided;Remote
28/07/2025;DOC483;Photofeed;Server License;3;1371;Voided;Texas DC
4/07/2025;DOC484;Thoughtstorm;Server License;10;4570;Voided;Remote
26/07/2025;DOC485;Brightbean;Server License;20;9140;Voided;Remote
27/01/2025;DOC486;Fivechat;Cloud Subscription;18;3132;Voided;California Office
8/11/2025;DOC487;Babbleset;Firewall;12;4992;Open;California Office
12/01/2025;DOC488;Talane;Switch;20;5320;Open;Texas DC
20/10/2025;DOC489;Yotz;Cloud Subscription;11;1914;Paid In Full;Remote
15/05/2025;DOC490;Aibox;Access Point;19;3097;Open;Remote
10/09/2025;DOC491;Rhyzio;Switch;5;1330;Paid In Full;Texas DC
24/05/2025;DOC492;Oyope;Server License;8;3656;Open;Texas DC
18/01/2025;DOC493;Meevee;Firewall;10;4160;Paid In Full;New York Warehouse
28/06/2025;DOC494;Youbridge;Server License;20;9140;Voided;Texas DC
3/03/2025;DOC495;Meedoo;Switch;14;3724;Voided;New York Warehouse
16/02/2025;DOC496;Babblestorm;Router;20;5780;Open;New York Warehouse
31/03/2025;DOC497;Rhyzio;Cloud Subscription;4;696;Paid In Full;New York Warehouse
30/03/2025;DOC498;Aivee;Switch;6;1596;Paid In Full;Remote
2/05/2025;DOC499;Kare;Cloud Subscription;10;1740;Open;New York Warehouse
25/06/2025;DOC500;Divape;Server License;17;7769;Voided;Texas DC
3/09/2025;DOC501;Fivebridge;Router;11;3179;Voided;California Office
27/05/2025;DOC502;Mydo;Server License;8;3656;Voided;New York Warehouse
13/10/2025;DOC503;Fiveclub;Access Point;14;2282;Open;Remote
1/09/2025;DOC504;Tagtune;Cloud Subscription;6;1044;Paid In Full;New York Warehouse
22/08/2025;DOC505;Devpoint;Cloud Subscription;15;2610;Open;California Office
1/11/2025;DOC506;Gabspot;Access Point;15;2445;Open;California Office
5/11/2025;DOC507;Ailane;Cloud Subscription;19;3306;Paid In Full;Remote
18/09/2025;DOC508;Skyndu;Cloud Subscription;12;2088;Open;New York Warehouse
30/10/2025;DOC509;Divape;Router;8;2312;Paid In Full;Texas DC
1/02/2025;DOC510;Meezzy;Access Point;9;1467;Paid In Full;New York Warehouse
24/02/2025;DOC511;Mudo;Switch;13;3458;Open;New York Warehouse
17/03/2025;DOC512;Gabspot;Firewall;19;7904;Open;Remote
3/01/2025;DOC513;Yambee;Cloud Subscription;13;2262;Open;Remote
6/07/2025;DOC514;Shuffletag;Access Point;2;326;Open;California Office
20/09/2025;DOC515;Flipstorm;Access Point;1;163;Open;California Office
25/07/2025;DOC516;Yodoo;Access Point;4;652;Open;California Office
27/09/2025;DOC517;Reallinks;Router;14;4046;Open;Remote
28/02/2025;DOC518;Skiptube;Firewall;14;5824;Paid In Full;California Office
28/08/2025;DOC519;Buzzbean;Server License;11;5027;Open;California Office
2/10/2025;DOC520;Devify;Access Point;16;2608;Open;Texas DC
8/02/2025;DOC521;Yombu;Firewall;7;2912;Open;Remote
27/11/2025;DOC522;Thoughtmix;Switch;2;532;Open;Remote
17/10/2025;DOC523;Skippad;Firewall;1;416;Open;New York Warehouse
19/01/2025;DOC524;Thoughtsphere;Access Point;12;1956;Open;Remote
7/04/2025;DOC525;Aimbu;Access Point;17;2771;Voided;Texas DC
11/03/2025;DOC526;Aibox;Server License;2;914;Open;New York Warehouse
22/01/2025;DOC527;Talane;Access Point;9;1467;Paid In Full;California Office
5/01/2025;DOC528;Brightbean;Server License;19;8683;Open;Texas DC
24/05/2025;DOC529;Yodoo;Access Point;15;2445;Paid In Full;New York Warehouse
1/08/2025;DOC530;Abatz;Router;18;5202;Open;New York Warehouse
24/03/2025;DOC531;Kanoodle;Router;18;5202;Paid In Full;Remote
13/01/2025;DOC532;Ainyx;Router;12;3468;Voided;Remote
15/12/2025;DOC533;Centizu;Cloud Subscription;2;348;Open;Remote
26/02/2025;DOC534;Bubbletube;Router;14;4046;Paid In Full;New York Warehouse
18/03/2025;DOC535;Eadel;Cloud Subscription;11;1914;Voided;Texas DC
3/12/2025;DOC536;Tagchat;Router;15;4335;Paid In Full;New York Warehouse
23/09/2025;DOC537;Roomm;Server License;7;3199;Paid In Full;New York Warehouse
11/01/2025;DOC538;Ntags;Access Point;16;2608;Voided;Texas DC
5/08/2025;DOC539;Demivee;Server License;20;9140;Paid In Full;Texas DC
15/02/2025;DOC540;Chatterpoint;Firewall;17;7072;Paid In Full;Remote
31/03/2025;DOC541;Photobug;Router;17;4913;Paid In Full;New York Warehouse
10/08/2025;DOC542;Centimia;Firewall;16;6656;Voided;Remote
5/03/2025;DOC543;Meeveo;Router;5;1445;Paid In Full;California Office
15/04/2025;DOC544;Zava;Firewall;12;4992;Open;Remote
4/07/2025;DOC545;Eadel;Server License;3;1371;Open;New York Warehouse
20/11/2025;DOC546;Jabberstorm;Firewall;2;832;Paid In Full;California Office
21/09/2025;DOC547;Youbridge;Switch;17;4522;Voided;California Office
28/07/2025;DOC548;Quimba;Switch;9;2394;Voided;Texas DC
11/04/2025;DOC549;Oyoba;Firewall;7;2912;Paid In Full;New York Warehouse
29/07/2025;DOC550;Latz;Switch;15;3990;Voided;New York Warehouse
14/10/2025;DOC551;Bubblebox;Server License;7;3199;Paid In Full;New York Warehouse
7/04/2025;DOC552;Flipbug;Cloud Subscription;16;2784;Paid In Full;New York Warehouse
17/09/2025;DOC553;Blogspan;Router;2;578;Paid In Full;California Office
28/11/2025;DOC554;Voolia;Firewall;12;4992;Paid In Full;Texas DC
4/10/2025;DOC555;Wordtune;Cloud Subscription;13;2262;Paid In Full;California Office
31/07/2025;DOC556;Meejo;Server License;17;7769;Open;New York Warehouse
3/08/2025;DOC557;Minyx;Router;11;3179;Voided;Texas DC
15/04/2025;DOC558;Blogtag;Access Point;9;1467;Open;New York Warehouse
23/03/2025;DOC559;Rhynyx;Server License;18;8226;Open;New York Warehouse
4/08/2025;DOC560;Ozu;Access Point;20;3260;Open;New York Warehouse
28/05/2025;DOC561;Voonyx;Server License;13;5941;Open;California Office
15/08/2025;DOC562;Zooveo;Cloud Subscription;11;1914;Open;Remote
16/06/2025;DOC563;Jabbersphere;Server License;12;5484;Paid In Full;New York Warehouse
8/11/2025;DOC564;Zoomdog;Cloud Subscription;18;3132;Voided;New York Warehouse
28/03/2025;DOC565;Photofeed;Router;11;3179;Paid In Full;Remote
23/11/2025;DOC566;Flashdog;Access Point;4;652;Paid In Full;California Office
6/03/2025;DOC567;Thoughtworks;Firewall;3;1248;Open;Texas DC
30/03/2025;DOC568;Oyope;Firewall;14;5824;Open;New York Warehouse
8/02/2025;DOC569;Jetpulse;Switch;10;2660;Paid In Full;Texas DC
8/03/2025;DOC570;Skimia;Cloud Subscription;9;1566;Open;California Office
4/03/2025;DOC571;Aimbu;Firewall;18;7488;Voided;Texas DC
5/05/2025;DOC572;Buzzdog;Firewall;2;832;Paid In Full;New York Warehouse
8/08/2025;DOC573;Geba;Firewall;5;2080;Open;Texas DC
23/02/2025;DOC574;Ooba;Switch;6;1596;Open;Remote
5/08/2025;DOC575;Topiclounge;Router;20;5780;Voided;Texas DC
1/02/2025;DOC576;Fatz;Server License;10;4570;Open;New York Warehouse
2/01/2025;DOC577;Thoughtbeat;Router;12;3468;Voided;New York Warehouse
14/02/2025;DOC578;Zoomlounge;Access Point;9;1467;Voided;California Office
13/02/2025;DOC579;Twiyo;Access Point;6;978;Open;Texas DC
5/09/2025;DOC580;Jabbersphere;Access Point;16;2608;Open;Remote
3/06/2025;DOC581;Vitz;Switch;7;1862;Voided;New York Warehouse
26/04/2025;DOC582;Skinder;Switch;4;1064;Paid In Full;Texas DC
12/07/2025;DOC583;Yozio;Switch;8;2128;Voided;Texas DC
19/09/2025;DOC584;Oyope;Switch;19;5054;Open;California Office
11/12/2025;DOC585;Kaymbo;Firewall;11;4576;Paid In Full;New York Warehouse
7/06/2025;DOC586;Jabbersphere;Firewall;14;5824;Voided;California Office
4/07/2025;DOC587;Oyoloo;Firewall;3;1248;Open;Texas DC
21/09/2025;DOC588;Voonyx;Switch;20;5320;Voided;California Office
4/03/2025;DOC589;Dabshots;Access Point;20;3260;Open;Remote
3/07/2025;DOC590;Voomm;Firewall;20;8320;Open;California Office
14/05/2025;DOC591;Blognation;Cloud Subscription;16;2784;Open;Remote
9/12/2025;DOC592;LiveZ;Server License;2;914;Paid In Full;Texas DC
29/05/2025;DOC593;Skilith;Firewall;19;7904;Voided;Texas DC
17/11/2025;DOC594;Devshare;Cloud Subscription;2;348;Paid In Full;Remote
24/11/2025;DOC595;Oyonder;Switch;15;3990;Paid In Full;New York Warehouse
1/01/2025;DOC596;Skinte;Router;4;1156;Open;Texas DC
21/11/2025;DOC597;Blognation;Router;14;4046;Voided;New York Warehouse
5/07/2025;DOC598;Eimbee;Cloud Subscription;3;522;Open;California Office
21/11/2025;DOC599;Feednation;Firewall;18;7488;Open;Texas DC
28/07/2025;DOC600;Trupe;Server License;13;5941;Paid In Full;Texas DC
29/09/2025;DOC601;Thoughtstorm;Access Point;17;2771;Paid In Full;California Office
13/08/2025;DOC602;Meedoo;Cloud Subscription;18;3132;Voided;Texas DC
15/02/2025;DOC603;Brainlounge;Server License;5;2285;Paid In Full;Texas DC
19/03/2025;DOC604;Avaveo;Switch;19;5054;Open;Remote
18/09/2025;DOC605;Yabox;Cloud Subscription;18;3132;Open;California Office
29/10/2025;DOC606;Youfeed;Access Point;9;1467;Paid In Full;New York Warehouse
19/02/2025;DOC607;Voonte;Router;10;2890;Voided;Texas DC
20/07/2025;DOC608;Yodo;Router;16;4624;Paid In Full;California Office
27/06/2025;DOC609;Browsecat;Server License;2;914;Paid In Full;California Office
19/09/2025;DOC610;Demimbu;Cloud Subscription;15;2610;Open;Remote
21/03/2025;DOC611;Mynte;Server License;20;9140;Paid In Full;Texas DC
1/10/2025;DOC612;Centimia;Access Point;5;815;Paid In Full;Texas DC
11/05/2025;DOC613;Gigazoom;Switch;9;2394;Voided;California Office
23/10/2025;DOC614;Browseblab;Switch;4;1064;Voided;Texas DC
28/03/2025;DOC615;Divanoodle;Cloud Subscription;2;348;Voided;Texas DC
9/11/2025;DOC616;Dabfeed;Router;5;1445;Open;Remote
11/09/2025;DOC617;Shuffledrive;Router;20;5780;Voided;Remote
22/02/2025;DOC618;Buzzster;Server License;20;9140;Voided;New York Warehouse
12/10/2025;DOC619;Skalith;Switch;2;532;Paid In Full;California Office
4/06/2025;DOC620;Yabox;Access Point;1;163;Voided;California Office
11/04/2025;DOC621;Aimbo;Cloud Subscription;13;2262;Open;New York Warehouse
13/08/2025;DOC622;Devshare;Access Point;10;1630;Paid In Full;Texas DC
26/07/2025;DOC623;Avaveo;Server License;9;4113;Voided;Texas DC
16/05/2025;DOC624;Browsecat;Access Point;16;2608;Voided;Remote
10/05/2025;DOC625;Thoughtstorm;Cloud Subscription;4;696;Open;Remote
14/12/2025;DOC626;Bubbletube;Cloud Subscription;3;522;Paid In Full;Remote
14/01/2025;DOC627;Rhyzio;Access Point;12;1956;Voided;New York Warehouse
18/10/2025;DOC628;Kazio;Firewall;5;2080;Voided;Texas DC
9/08/2025;DOC629;Muxo;Cloud Subscription;15;2610;Paid In Full;Texas DC
17/05/2025;DOC630;Zoonder;Access Point;3;489;Voided;New York Warehouse
31/03/2025;DOC631;Einti;Router;14;4046;Paid In Full;New York Warehouse
24/02/2025;DOC632;Jabbertype;Router;13;3757;Voided;Texas DC
7/07/2025;DOC633;Devshare;Router;16;4624;Paid In Full;Texas DC
12/01/2025;DOC634;Skyvu;Server License;18;8226;Open;New York Warehouse
14/01/2025;DOC635;Muxo;Router;9;2601;Voided;Texas DC
23/02/2025;DOC636;Photolist;Switch;4;1064;Open;Remote
15/08/2025;DOC637;Demimbu;Router;7;2023;Voided;Texas DC
10/08/2025;DOC638;Oyonder;Server License;1;457;Open;New York Warehouse
22/02/2025;DOC639;Jayo;Switch;1;266;Voided;New York Warehouse
31/01/2025;DOC640;Edgeblab;Firewall;3;1248;Paid In Full;Remote
2/10/2025;DOC641;Buzzbean;Cloud Subscription;15;2610;Voided;California Office
5/11/2025;DOC642;Reallinks;Cloud Subscription;9;1566;Voided;Remote
10/08/2025;DOC643;Oba;Router;8;2312;Paid In Full;California Office
14/07/2025;DOC644;Fivebridge;Firewall;9;3744;Paid In Full;Remote
30/05/2025;DOC645;Tagcat;Router;5;1445;Paid In Full;Remote
28/08/2025;DOC646;Wikibox;Cloud Subscription;5;870;Voided;Texas DC
1/12/2025;DOC647;Skipfire;Switch;15;3990;Voided;Remote
1/08/2025;DOC648;Mynte;Switch;8;2128;Open;Texas DC
7/07/2025;DOC649;Mynte;Cloud Subscription;4;696;Open;Remote
19/04/2025;DOC650;Kazio;Access Point;14;2282;Open;Remote
1/07/2025;DOC651;Centizu;Firewall;9;3744;Open;New York Warehouse
21/06/2025;DOC652;Vidoo;Server License;2;914;Voided;Remote
15/08/2025;DOC653;Blogpad;Cloud Subscription;3;522;Voided;New York Warehouse
26/03/2025;DOC654;Jaloo;Firewall;2;832;Voided;California Office
11/10/2025;DOC655;Reallinks;Switch;3;798;Voided;Remote
1/09/2025;DOC656;Gabvine;Access Point;7;1141;Voided;California Office
28/01/2025;DOC657;Kimia;Router;7;2023;Open;California Office
28/08/2025;DOC658;Cogilith;Cloud Subscription;11;1914;Open;New York Warehouse
21/08/2025;DOC659;Einti;Server License;12;5484;Paid In Full;New York Warehouse
7/09/2025;DOC660;Devpoint;Server License;1;457;Voided;New York Warehouse
29/07/2025;DOC661;Skalith;Cloud Subscription;3;522;Paid In Full;California Office
26/09/2025;DOC662;Feednation;Server License;1;457;Paid In Full;Texas DC
11/06/2025;DOC663;Youspan;Access Point;17;2771;Paid In Full;Remote
30/04/2025;DOC664;Skinder;Server License;18;8226;Open;Remote
13/04/2025;DOC665;Twinte;Access Point;7;1141;Open;New York Warehouse
8/05/2025;DOC666;Kaymbo;Access Point;2;326;Open;Remote
15/01/2025;DOC667;Brightdog;Router;15;4335;Open;Texas DC
17/10/2025;DOC668;Eire;Firewall;8;3328;Paid In Full;California Office
12/12/2025;DOC669;Oba;Router;3;867;Paid In Full;Remote
10/03/2025;DOC670;Izio;Cloud Subscription;17;2958;Open;New York Warehouse
17/02/2025;DOC671;Oozz;Cloud Subscription;6;1044;Paid In Full;Remote
7/09/2025;DOC672;Ntags;Access Point;11;1793;Voided;Remote
1/08/2025;DOC673;Bubblemix;Cloud Subscription;7;1218;Open;Texas DC
10/03/2025;DOC674;Meevee;Firewall;1;416;Paid In Full;New York Warehouse
14/01/2025;DOC675;Mudo;Cloud Subscription;15;2610;Paid In Full;California Office
2/06/2025;DOC676;Quire;Firewall;15;6240;Paid In Full;Texas DC
4/02/2025;DOC677;Mybuzz;Cloud Subscription;7;1218;Open;Texas DC
7/09/2025;DOC678;Kazio;Cloud Subscription;2;348;Voided;California Office
17/01/2025;DOC679;Podcat;Access Point;5;815;Open;New York Warehouse
22/09/2025;DOC680;Kazu;Server License;15;6855;Open;California Office
17/03/2025;DOC681;Bubbletube;Cloud Subscription;3;522;Paid In Full;Remote
8/02/2025;DOC682;Rhybox;Switch;19;5054;Voided;Texas DC
29/11/2025;DOC683;Skaboo;Router;20;5780;Voided;Texas DC
13/05/2025;DOC684;Blognation;Cloud Subscription;13;2262;Paid In Full;Texas DC
12/04/2025;DOC685;Eabox;Switch;8;2128;Open;California Office
14/10/2025;DOC686;Buzzdog;Access Point;4;652;Paid In Full;New York Warehouse
31/05/2025;DOC687;Abatz;Server License;6;2742;Paid In Full;California Office
3/06/2025;DOC688;Skaboo;Access Point;19;3097;Open;Remote
26/05/2025;DOC689;Roombo;Cloud Subscription;6;1044;Open;New York Warehouse
12/10/2025;DOC690;Devcast;Access Point;2;326;Paid In Full;Texas DC
9/01/2025;DOC691;Thoughtsphere;Router;17;4913;Paid In Full;California Office
9/01/2025;DOC692;Jaxbean;Firewall;3;1248;Paid In Full;Remote
23/05/2025;DOC693;Ainyx;Cloud Subscription;4;696;Paid In Full;New York Warehouse
6/03/2025;DOC694;Camimbo;Server License;1;457;Open;California Office
2/07/2025;DOC695;Topicshots;Access Point;15;2445;Open;Texas DC
10/03/2025;DOC696;Devshare;Firewall;12;4992;Open;New York Warehouse
21/10/2025;DOC697;Avamba;Server License;9;4113;Voided;Remote
2/03/2025;DOC698;Yombu;Cloud Subscription;3;522;Voided;California Office
16/03/2025;DOC699;Tagtune;Cloud Subscription;14;2436;Voided;California Office
1/12/2025;DOC700;Ntag;Server License;12;5484;Voided;California Office
29/10/2025;DOC701;Bubblemix;Cloud Subscription;19;3306;Voided;New York Warehouse
5/09/2025;DOC702;Youfeed;Cloud Subscription;11;1914;Open;Remote
7/10/2025;DOC703;Katz;Cloud Subscription;4;696;Voided;Texas DC
29/11/2025;DOC704;Yoveo;Server License;5;2285;Voided;California Office
24/09/2025;DOC705;Quire;Server License;5;2285;Voided;New York Warehouse
13/11/2025;DOC706;Feedfish;Access Point;2;326;Open;Remote
18/02/2025;DOC707;Jabberstorm;Cloud Subscription;18;3132;Voided;Texas DC
30/05/2025;DOC708;Demizz;Switch;6;1596;Paid In Full;New York Warehouse
29/09/2025;DOC709;Skiptube;Cloud Subscription;11;1914;Voided;Remote
5/07/2025;DOC710;Wikido;Server License;16;7312;Paid In Full;New York Warehouse
12/08/2025;DOC711;Topicstorm;Router;9;2601;Voided;Texas DC
26/06/2025;DOC712;Cogidoo;Server License;2;914;Voided;California Office
3/01/2025;DOC713;Digitube;Access Point;6;978;Paid In Full;Texas DC
27/10/2025;DOC714;Rhynoodle;Router;19;5491;Open;Texas DC
5/11/2025;DOC715;Wordware;Firewall;18;7488;Open;New York Warehouse
21/03/2025;DOC716;Vimbo;Router;14;4046;Paid In Full;New York Warehouse
13/12/2025;DOC717;Blogpad;Router;7;2023;Paid In Full;Texas DC
17/02/2025;DOC718;Aivee;Cloud Subscription;10;1740;Voided;Remote
23/06/2025;DOC719;Voomm;Switch;8;2128;Voided;California Office
25/03/2025;DOC720;Brainsphere;Access Point;6;978;Open;Remote
9/08/2025;DOC721;JumpXS;Access Point;16;2608;Open;California Office
17/08/2025;DOC722;Omba;Server License;14;6398;Open;Remote
7/10/2025;DOC723;Katz;Cloud Subscription;9;1566;Open;California Office
22/10/2025;DOC724;Dabshots;Server License;7;3199;Open;New York Warehouse
13/06/2025;DOC725;Feednation;Router;17;4913;Paid In Full;Remote
6/05/2025;DOC726;Eayo;Server License;4;1828;Voided;New York Warehouse
17/07/2025;DOC727;Babblestorm;Access Point;5;815;Voided;New York Warehouse
15/12/2025;DOC728;Oozz;Cloud Subscription;19;3306;Voided;New York Warehouse
3/06/2025;DOC729;Viva;Access Point;1;163;Voided;Texas DC
26/01/2025;DOC730;Twinder;Cloud Subscription;6;1044;Open;Texas DC
14/08/2025;DOC731;Tavu;Access Point;15;2445;Voided;New York Warehouse
10/10/2025;DOC732;Trilia;Access Point;16;2608;Paid In Full;Remote
30/08/2025;DOC733;Aimbu;Router;2;578;Paid In Full;New York Warehouse
